ITEM,BARCODE,ITEM_DESC,Actual_Total_sell_out_store_Value,Actual_Total_sell_out_store_qty,Total_stock_valueTHB_DC,Total_stock_value_THB_All_Stores,Total_stock_qty_DC,Total_stock_Qty_All_Stores
1001,8850001,Loreal Shampoo,50000,500,10000,20000,100,200
1002,8850002,Loreal Conditioner,45000,450,12000,22000,120,220
1003,8850003,Maybelline Mascara,30000,300,5000,10000,50,100
1004,8850004,Garnier Micellar,10000,100,2000,4000,20,40
1005,8850005,Maybelline Lipstick,60000,600,15000,30000,150,300
1006,8850006,NYX Setting Spray,25000,250,8000,16000,80,160
1007,8850007,Vichy Serum,5000,20,5000,10000,10,20
1008,8850008,La Roche Posay Effaclar,80000,800,20000,40000,200,400
1009,8850009,CeraVe Cleanser,75000,750,18000,36000,180,360
1010,8850010,Loreal Hair Oil,2000,10,1000,2000,10,20
